,campaign_E,resistance_E,cycle_E,target_cycle
0,7.901872153,0.009634347985634893,0,normal
1,16.027108258000002,0.009480152826709767,0,normal
2,24.227011151000003,0.009503475855564622,0,normal
3,32.492282053000004,0.009537095544639173,0,normal
4,40.774930168,0.009625638602636688,0,normal
5,49.058223858000005,0.009733432355215694,0,normal
6,57.339689113,0.009844148933762568,0,normal
7,65.640281714,0.009929781106239358,0,normal
8,73.954699616,0.010017437618809745,0,normal
9,82.282363051,0.010018072469327646,0,normal
10,90.6127125778,0.010031405582221771,0,normal
11,98.9182357058,0.01007800380638468,0,normal
12,107.2569703772,0.01005441074597998,0,normal
13,115.6072691711,0.010057010475163806,0,normal
14,123.9606757214,0.010069786605918165,0,normal
15,132.3171906112,0.010082551433833024,0,normal
16,140.6594334621,0.010116340610714213,0,normal
17,149.0168431605,0.010114491468114,0,normal
18,157.3147285115,0.01020367422524057,0,normal
19,166.4041559523,0.009685001965234016,0,normal
20,175.1984254202,0.010001289528600573,0,normal
21,183.9302504592,0.01006398401966423,0,normal
22,192.650149104,0.01006890900645483,0,normal
23,201.339970118,0.010094889473289672,0,normal
24,210.0124120031,0.010106231384102193,0,normal
25,218.7276179424,0.010047796630383868,0,normal
26,227.4295375317,0.01005428037827203,0,normal
27,236.220322394,0.009943873415544957,0,normal
28,244.943101886,0.010012562354820561,0,normal
29,253.6937480602,0.009971867716726358,0,normal
30,262.4660581487,0.00993845494692353,0,normal
31,271.1964710028,0.009981270026775057,0,normal
32,279.9110020455,0.01000231484183155,0,normal
33,288.6333551248,0.009996195687711982,0,normal
34,297.3716898922,0.009980758990073573,0,normal
35,306.122504499,0.009969367872587346,0,normal
36,314.8595631104,0.009987909806412175,0,normal
37,323.5891955268,0.009999255898336818,0,normal
38,332.3272264991,0.009992490728951635,0,normal
39,341.1227384698,0.009930015309734037,0,normal
40,349.8382996836,0.010023959608896942,0,normal
41,358.5360686005,0.010047323567794522,0,normal
42,367.2464985343,0.010035575090593123,0,normal
43,375.9763775187,0.010016050596262606,0,normal
44,384.69752499710006,0.010028898908959425,0,normal
45,393.4026533857001,0.010050179543540339,0,normal
46,402.1097512362001,0.010050731205917783,0,normal
47,410.8897360036001,0.009970096766115717,0,normal
48,419.5778112162001,0.010078399693526153,0,normal
49,428.2750698373001,0.010070584905398888,0,normal
50,437.0041156551001,0.010036730249868344,0,normal
51,445.7436299505001,0.01002752236267027,0,normal
52,454.4481945647001,0.010070609587640644,0,normal
53,463.0790036096,0.010159519023979977,0,normal
54,471.79334781040006,0.010064953176046,0,normal
55,480.5545348499001,0.010019024720537128,0,normal
56,489.2795985112,0.010071932390566248,0,normal
57,498.0011775669001,0.010087387464716255,0,normal
58,506.7249790666,0.010096244817586562,0,normal
59,515.4199154503001,0.010141228207753426,0,normal
60,524.1189853466001,0.010147869095585392,0,normal
61,532.7701916460002,0.010215537052460455,0,normal
62,541.4781767248,0.010160378028827818,0,normal
63,550.1821979731001,0.010176458235243852,0,normal
64,558.8979117092001,0.0101742450285752,0,normal
65,567.5761750148001,0.010229638404116411,0,normal
66,576.3225078317001,0.010161423752166387,0,normal
67,585.0475867369001,0.010193559476005826,0,normal
68,593.7613424232002,0.010212679160366374,0,normal
69,602.4915067934002,0.010199347554776925,0,normal
70,611.2379114982001,0.010186260981738696,0,normal
71,619.9678261350001,0.010211365654736387,0,normal
72,628.7163680679001,0.01019547379381802,0,normal
73,637.4441219027001,0.010225621855665586,0,normal
74,646.1766364991001,0.010225909031610811,0,normal
75,654.9092413094002,0.010231664130113144,0,normal
76,663.6534782150001,0.010223907553527756,0,normal
77,672.3861954803001,0.010243255035570767,0,normal
78,681.1070417459001,0.010263068157851784,0,normal
79,689.7645385281,0.010341338654733991,0,normal
80,698.4031690265001,0.010366657079219518,0,normal
81,707.0888724382002,0.010313192800750673,0,normal
82,715.7719549820001,0.010319024071351015,0,normal
83,724.4505195004002,0.010327117152840317,0,normal
84,733.1260741399002,0.010333421812921314,0,normal
85,741.8403941837003,0.010290162512771034,0,normal
